#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
17.4%	174000	-15266.081679253111	292.54463176825715	1.27e+03
17.5%	175000	-15201.436696022363	302.26661156582077	1.27e+03
17.6%	176000	-15137.226361656918	304.16773676423287	1.27e+03
17.7%	177000	-15287.47594355898	298.9247273822947	1.27e+03
17.8%	178000	-15410.255240260041	298.3657367528916	1.27e+03
17.9%	179000	-15112.693503150127	294.050040830134	1.27e+03
18.0%	180000	-15190.398547924437	288.016716707979	1.27e+03
18.1%	181000	-15074.692012601983	295.41751812774544	1.27e+03
18.2%	182000	-15207.66121817712	293.5841247713393	1.27e+03
18.3%	183000	-15327.121864395835	304.58116807083354	1.27e+03
18.4%	184000	-15167.436335891362	289.2574450284179	1.27e+03
18.5%	185000	-15267.447860109452	284.16314679048344	1.27e+03
18.6%	186000	-15296.98039631499	292.16331026759934	1.27e+03
18.7%	187000	-15329.889615288055	292.01510584945805	1.27e+03
18.8%	188000	-15138.684183281555	277.8011561318701	1.27e+03
18.9%	189000	-15324.311027146367	299.5184176035355	1.27e+03
19.0%	190000	-15322.855076317508	297.3414420171968	1.27e+03
19.1%	191000	-15124.269106505824	303.96046904872145	1.27e+03
19.2%	192000	-15217.692034019783	293.3307322018832	1.27e+03
19.3%	193000	-15401.975799761567	314.0173552034529	1.27e+03
19.4%	194000	-15253.993642377718	294.1596268033469	1.27e+03
19.5%	195000	-15221.703659905907	318.7732285304858	1.27e+03
19.6%	196000	-15148.333902687205	289.47126196870823	1.27e+03
19.7%	197000	-15064.207564097036	303.1777953310434	1.27e+03
19.8%	198000	-15172.1932499955	303.5522982549714	1.27e+03
19.9%	199000	-15111.004589684642	311.857043971415	1.27e+03
20.0%	200000	-15141.9755739584	308.1871367132571	1.27e+03
20.1%	201000	-15126.759817227416	313.52039099105826	1.27e+03
20.2%	202000	-15245.71024557657	297.55933986251534	1.27e+03
20.3%	203000	-15192.272584123079	304.7746100036364	1.27e+03
20.4%	204000	-15166.284743902572	311.53142971843056	1.27e+03
20.5%	205000	-15113.863821420411	304.24546294365194	1.27e+03
20.6%	206000	-15267.32262996227	307.58540978930483	1.27e+03
20.7%	207000	-15294.965649446203	292.559392474472	1.27e+03
20.8%	208000	-15381.432055568584	295.3711937222571	1.27e+03
20.9%	209000	-15323.932931148986	309.61340877033865	1.27e+03
21.0%	210000	-15265.541608172127	296.6929702017855	1.27e+03
21.1%	211000	-15281.150359618296	296.8585824276786	1.27e+03
21.2%	212000	-15328.197860669228	303.92638890600614	1.27e+03
21.3%	213000	-15264.76595645681	303.83442771929043	1.27e+03
21.4%	214000	-15452.230981665802	301.1807272637888	1.27e+03
21.5%	215000	-15421.982289961525	293.8686286915216	1.27e+03
21.6%	216000	-15114.239702819403	320.64969525074724	1.27e+03
21.7%	217000	-15362.508099760322	298.31566550565293	1.27e+03
21.8%	218000	-15229.517551851211	315.40451687390413	1.27e+03
21.9%	219000	-15247.573747978582	284.15007590119626	1.27e+03
22.0%	220000	-15256.89460505941	308.1554150559996	1.27e+03
22.1%	221000	-15347.357322733813	297.31391190513915	1.27e+03
22.2%	222000	-15329.302847798477	295.8780543594609	1.27e+03
22.3%	223000	-15115.185791187498	298.3222578134942	1.27e+03
22.4%	224000	-15297.887799486984	302.6004849844547	1.27e+03
22.5%	225000	-15195.277337359163	309.58049336351684	1.27e+03
22.6%	226000	-15314.46521614943	305.2450224343755	1.27e+03
22.7%	227000	-15292.851308012774	302.0907555772137	1.27e+03
22.8%	228000	-15091.178891541545	284.15814339975185	1.27e+03
22.9%	229000	-15395.723216839258	306.36740626741465	1.27e+03
23.0%	230000	-15167.697581784472	320.6620819599719	1.27e+03
23.1%	231000	-15272.80038982119	303.79588239331713	1.27e+03
23.2%	232000	-14994.503435356797	286.24835587950014	1.27e+03
23.3%	233000	-15290.364379016508	301.46240117602156	1.27e+03
23.4%	234000	-15195.998085599414	309.2977754997269	1.27e+03
23.5%	235000	-15294.821722800785	293.5341927689019	1.27e+03
23.6%	236000	-15288.48150225488	296.1513355867307	1.27e+03
23.7%	237000	-15259.13622735819	296.33506509372967	1.27e+03
23.8%	238000	-15211.425308490601	318.0238335893215	1.27e+03
23.9%	239000	-15375.414418932523	317.28624626946487	1.27e+03
24.0%	240000	-15218.515779514259	300.9105610319501	1.27e+03
24.1%	241000	-15408.795913961367	297.9104761416756	1.27e+03
24.2%	242000	-15378.715735146347	295.58514405931555	1.27e+03
24.3%	243000	-15312.346359955882	297.8101060909666	1.27e+03
24.4%	244000	-15360.398195213835	282.43022008498605	1.27e+03
24.5%	245000	-15331.838522873528	291.35055525793274	1.27e+03
24.6%	246000	-15323.423297807916	306.2544101459313	1.27e+03
24.7%	247000	-15308.496686422484	294.79686094835137	1.27e+03
24.8%	248000	-15266.460454649663	317.56299644584595	1.27e+03
24.9%	249000	-15239.59070365908	290.36678088232946	1.27e+03
25.0%	250000	-15396.801417640105	292.08483557757467	1.27e+03
25.1%	251000	-15169.237561330265	313.44875918996604	1.27e+03
25.2%	252000	-15293.698830709567	322.3789814532316	1.27e+03
25.3%	253000	-15356.565650108263	281.1601374656952	1.27e+03
25.4%	254000	-15377.673517914875	297.6343023852542	1.27e+03
25.5%	255000	-15312.788741503726	303.1261180097721	1.27e+03
25.6%	256000	-15194.172700679985	314.62964843399374	1.27e+03
25.7%	257000	-15183.033288296909	271.43405577277167	1.27e+03
25.8%	258000	-15296.495182342558	304.9526278392779	1.27e+03
25.9%	259000	-15118.389697034538	306.87123139532224	1.27e+03
26.0%	260000	-15205.81638010611	272.7570868579178	1.27e+03
26.1%	261000	-15347.398933697084	318.16545941695864	1.27e+03
26.2%	262000	-15274.024970585655	313.948321001372	1.27e+03
26.3%	263000	-15214.778536341939	286.3774579864577	1.27e+03
26.4%	264000	-15248.093966432665	294.647491674786	1.27e+03
26.5%	265000	-15310.8176867211	292.8283478986878	1.27e+03
