#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
32.4%	324000	-758628.394912258	299.9527747454108	595
32.5%	325000	-758916.1462216577	300.28384954338804	595
32.6%	326000	-758849.5421321401	297.1932010542249	595
32.7%	327000	-758747.6350467198	306.2909506565163	595
32.8%	328000	-758778.9804154536	301.02828313959935	595
32.9%	329000	-758845.0676224997	307.8394053971584	595
33.0%	330000	-758803.5952551004	296.99812690591295	595
33.1%	331000	-758862.7049043884	293.40965881643024	595
33.2%	332000	-758752.2633176786	304.3574836562423	595
33.3%	333000	-758850.4167880872	299.1701315080659	595
33.4%	334000	-759039.3840613967	317.136875528725	595
33.5%	335000	-759015.6716165931	304.0723154702919	595
33.6%	336000	-758632.2654203199	296.80988090122275	595
33.7%	337000	-758809.3818076492	303.3822981437752	595
33.8%	338000	-758866.7986923999	308.78133164548683	595
33.9%	339000	-758758.0494838846	313.18788939558794	595
34.0%	340000	-758755.4975920249	293.24235516715237	595
34.1%	341000	-758814.7458495528	306.7877360923016	595
34.2%	342000	-758819.5362101967	295.8826044432299	595
34.3%	343000	-758941.002841647	296.45303106857915	596
34.4%	344000	-758879.4400862394	302.1232125194859	595
34.5%	345000	-758826.6931910529	299.2317894341354	596
34.6%	346000	-758777.9277108777	299.55179262914146	596
34.7%	347000	-758698.5138166735	301.3011963354277	596
34.8%	348000	-758795.5718917963	309.69630042641705	596
34.9%	349000	-758726.9479476947	297.02970668688704	596
35.0%	350000	-758952.6871910028	296.31536040764905	596
35.1%	351000	-758904.4413341768	301.4373936919603	596
35.2%	352000	-758699.0855357526	307.52889937993757	596
35.3%	353000	-758963.5152062003	304.25383977960564	596
35.4%	354000	-759133.1310344264	299.2492823543112	596
35.5%	355000	-758929.1798584755	300.8456944960328	596
35.6%	356000	-758810.2736464557	293.56978429039043	596
35.7%	357000	-758777.977579501	305.95241505468255	596
35.8%	358000	-758820.5832590882	304.4746361616766	596
35.9%	359000	-758783.9835903528	305.810401244057	596
