name,formula,mole_vol,mole_weight
Leonite                            type=,K2Mg(SO4)2:4H2O,166.3,
Lime                               type= oxide,CaO,16.764,
Lopezite                           type=,K2Cr2O7,109.93,
Magnesite                          type= carbonate,MgCO3,28.018,
Magnetite                          type= oxide,Fe3O4,44.524,
Malachite                          type=,Cu2CO3(OH)2,54.86,
Manganese                          type= native,Mn,7.354,
Manganite                          type=,HMnO2,20.45,
Manganosite                        type=,MnO,13.221,
Maximum_Microcline                 type=,KAlSi3O8,108.741,
Melanterite                        type= sulfate,FeSO4:7H2O,0.0,
Mercallite                         type=,KHSO4,58.59,
Mesolite                           type=,Na.676Ca.657Al1.99Si3.01O10:2.647H2O,171.7,
Mg(NO3)2                           type=,Mg(NO3)2,0.0,
Mg2(OH)3Cl:4H2O                    type=,Mg2(OH)3Cl:4H2O,0.0,
MgBr2                              type=,MgBr2,0.0,
MgCl2:2H2O                         type=,MgCl2:2H2O,0.0,
MgCl2:4H2O                         type=,MgCl4:2H2O,0.0,
MgCl2:H2O                          type=,MgCl2:H2O,0.0,
MgI2                               type=,MgI2,0.0,
MgMoO4                             type=,MgMoO4,0.0,
MgOHCl                             type=,MgOHCl,33.23,
MgSO4                              type=,MgSO4,0.0,
MgUO4                              type=,MgUO4,0.0,
Minnesotaite                       type=,Fe3Si4O10(OH)2,147.86,
Mirabilite                         type= sulfate,Na2SO4:10H2O,219.8,
Misenite                           type= sulfate,K8H6(SO4)7,0.0,
Mn(OH)2(am)                        type=,Mn(OH)2,22.36,
MnCl2:4H2O                         type= halide,MnCl2:4H2O,98.46,
MnSO4                              type=,MnSO4,0.0,
Molybdite                          type=,MoO3,0.0,
Molysite                           type=,FeCl3,55.855,
Montmorillonite-Ca                 type=,Ca0.165Mg0.33Al1.67Si4O10(OH)2,133.07,
Montmorillonite-H                  type=,H0.33Mg0.33Al1.67Si4O10(OH)2,132.216,
Montmorillonite-K                  type=,K0.33Mg0.33Al1.67Si4O10(OH)2,137.455,
Montmorillonite-Mg                 type=,Mg0.495Al1.67Si4O10(OH)2,132.029,
Montmorillonite-Na                 type=,Na0.33Mg0.33Al1.67Si4O10(OH)2,134.03,
MoO2Cl2                            type=,MoO2Cl2,0.0,
Mordenite                          type=,Ca.2895Na.361Al.94Si5.06O12:3.468H2O,0.0,
Na2CO3:7H2O                        type=,Na2CO3:7H2O,153.71,
Na2CrO4                            type=,Na2CrO4,0.0,
Na2CrO4:4H2O                       type=,Na2CrO4:4H2O,0.0,
Na2MoO4                            type=,Na2MoO4,0.0,
Na2O                               type= oxide,Na2O,0.0,
Na2SO4(Sol-3)                      type=,Na2SO4,0.0,
Na2U2O7                            type=,Na2U2O7,95.34,
Na2UO4(alpha)                      type=,Na2UO4,0.0,
Na3H(SO4)2                         type=,Na3H(SO4)2,0.0,
Na3NpF8                            type=,Na3NpF8,0.0,
Na3NpO2(CO3)2                      type=,Na3NpO2(CO3)2,0.0,
Na4Ca(SO4)3:2H2O                   type=,Na4Ca(SO4)3:2H2O,0.0,
Na4UO2(CO3)3                       type=,Na4UO2(CO3)3,149.314,
NaB5O8:5H2O                        type= borate,NaB5O8:5H2O,0.0,
NaBO2:4H2O                         type= borate,NaBO2:4H2O,0.0,
NaBO2:NaCl:2H2O                    type=,NaBO2:NaCl:2H2O,0.0,
NaBr                               type=,NaBr,32.12,
NaClO4                             type=,NaClO4,0.0,
Nahcolite                          type=,NaHCO3,38.62,
NaI                                type=,NaI,0.0,
NaNO2                              type=,NaNO2,0.0,
NaNpO2CO3                          type=,NaNpO2CO3,0.0,
NaNpO2CO3:3.5H2O                   type=,NaNpO2CO3:3.5H2O,0.0,
NaOH                               type=,NaOH,0.0,
NaTcO4:4H2O                        type=,NaTcO4:4H2O,0.0,
Natrite                            type=,Na2CO3,0.0,
Natrolite                          type=,Na2Al2Si3O10:2H2O,0.0,
Natron                             type=,Na2CO3^10H2O,195.99,
Nd(OH)3                            type=,Nd(OH)3,0.0,
Nd(OH)3(am)                        type=,Nd(OH)3,0.0,
Nd(OH)3(c)                         type=,Nd(OH)3,0.0,
Nd2(CO3)3                          type= carbonate,Nd2(CO3)3,0.0,
Nd2O3                              type= oxide,Nd2O3,0.0,
NdF3:0.5H2O                        type=,NdF3:0.5H2O,0.0,
NdOHCO3                            type=,NdOHCO3,0.0,
NdPO4:10H2O                        type=,NdPO4:10H2O,0.0,
Neodymium                          type= native,Nd,20.57,
Neptunium                          type= native,Np,0.0,
Nesquehonite                       type= carbonate,MgCO3:3H2O,74.79,
NH4Cl                              type=,NH4Cl,0.0,
NH4ClO4                            type=,NH4ClO4,0.0,
NH4I                               type=,NH4I,0.0,
Ni2P2O7                            type=,Ni2P2O7,70.73,
Ni3(PO4)2                          type=,Ni3(PO4)2,83.361,
Ni4CrO4(OH)6                       type=,Ni4CrO4(OH)6,0.0,
Nickel                             type= native,Ni,6.588,
Nickelbischofite                   type=,NiCl2:6H2O,123.15,
NiCl2:4H2O                         type=,NiCl2:4H2O,0.0,
NiCO3                              type=,NiCO3,0.0,
NiCr2O4                            type=,NiCr2O4,0.0,
NiF2:4H2O                          type=,NiF2:4H2O,0.0,
NiMoO4                             type=,NiMoO4,0.0,
NiSO4:7H2O                         type=,NiSO4:7H2O,126.6,
Niter                              type=,KNO3,0.0,
Nontronite-Ca                      type=,Ca.165Fe2Al.33Si3.67H2O12,135.85,
