#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
19.6%	196000	-568111.1334228516	285.85599888825203	1.55e+03
19.7%	197000	-568127.5102996826	296.39362700688713	1.55e+03
19.8%	198000	-567971.5749511719	311.2863801077778	1.55e+03
19.9%	199000	-568086.0874023438	309.84317051338724	1.55e+03
20.0%	200000	-567963.9361572266	288.4837255761062	1.55e+03
20.1%	201000	-568072.3575439453	307.2124393389144	1.55e+03
20.2%	202000	-568174.2205810547	313.23277096173297	1.55e+03
20.3%	203000	-568103.0081787109	307.52076836654123	1.55e+03
20.4%	204000	-568070.0466308594	305.1300600125062	1.55e+03
20.5%	205000	-567947.7034912109	298.80472615905535	1.55e+03
20.6%	206000	-568169.8648681641	296.13624646898546	1.55e+03
20.7%	207000	-568268.1656494141	306.89463853428094	1.55e+03
20.8%	208000	-568287.0433959961	306.7844533781347	1.55e+03
20.9%	209000	-568043.3702392578	304.4405590815918	1.55e+03
21.0%	210000	-568022.380859375	304.1706651110471	1.55e+03
21.1%	211000	-568176.1807861328	291.8819006886664	1.55e+03
21.2%	212000	-568143.2260131836	297.34778750235614	1.54e+03
21.3%	213000	-568024.4598999023	288.2075228107362	1.54e+03
21.4%	214000	-568244.4962158203	289.2975644880782	1.54e+03
21.5%	215000	-568168.2473144531	299.6819606586673	1.54e+03
21.6%	216000	-568152.3653564453	310.877541789887	1.54e+03
21.7%	217000	-568112.507019043	292.3687736035662	1.54e+03
21.8%	218000	-568135.9611816406	304.07149566353223	1.54e+03
21.9%	219000	-568082.4692382812	298.903069738726	1.54e+03
22.0%	220000	-568319.4364013672	308.37882585021475	1.54e+03
22.1%	221000	-568103.6114501953	293.4325871798321	1.54e+03
22.2%	222000	-568179.5899658203	307.56828747224813	1.54e+03
22.3%	223000	-568076.8894042969	298.69394747221025	1.54e+03
22.4%	224000	-568243.5673828125	294.8717417024157	1.54e+03
22.5%	225000	-568033.8956298828	295.7186937234805	1.54e+03
22.6%	226000	-568067.4508056641	282.5418148347049	1.54e+03
22.7%	227000	-568350.9770507812	300.6916134014767	1.54e+03
22.8%	228000	-568233.1453857422	285.92452461925774	1.54e+03
22.9%	229000	-568015.1628417969	304.5424652051251	1.54e+03
23.0%	230000	-568152.8146972656	303.3943469043122	1.54e+03
23.1%	231000	-568039.3031768799	306.49562910863125	1.54e+03
23.2%	232000	-568080.551940918	302.4770541716324	1.54e+03
23.3%	233000	-568199.9586181641	297.9481957312827	1.54e+03
23.4%	234000	-568087.5316772461	302.202041517259	1.54e+03
23.5%	235000	-568070.7354736328	306.43340343910853	1.54e+03
23.6%	236000	-568236.0830078125	301.0719217406941	1.53e+03
23.7%	237000	-568196.1490478516	294.2569240981517	1.53e+03
23.8%	238000	-567945.8774414062	298.41461346218387	1.53e+03
23.9%	239000	-568182.5829772949	303.1429076230746	1.53e+03
24.0%	240000	-567914.9288330078	303.9651988981051	1.53e+03
24.1%	241000	-568080.8665466309	282.57318320890687	1.53e+03
24.2%	242000	-568064.6176757812	314.33834472105923	1.53e+03
24.3%	243000	-568028.4996337891	292.6105887193081	1.53e+03
24.4%	244000	-568086.2384033203	307.976778557631	1.53e+03
24.5%	245000	-568163.8909606934	301.2816811048816	1.53e+03
24.6%	246000	-567922.9416503906	297.3790457676184	1.53e+03
24.7%	247000	-567949.1401367188	312.1095687568585	1.53e+03
24.8%	248000	-567981.4120178223	304.07954392119433	1.53e+03
24.9%	249000	-568175.4417724609	301.4855888318066	1.53e+03
25.0%	250000	-568179.3060302734	296.99306992764366	1.53e+03
25.1%	251000	-568250.2744140625	290.60966018136037	1.53e+03
25.2%	252000	-568342.4847412109	297.0924181424863	1.53e+03
25.3%	253000	-567992.3601074219	303.65065102925195	1.53e+03
25.4%	254000	-568145.9092102051	294.0808185863004	1.53e+03
25.5%	255000	-568067.3112792969	296.52220439250135	1.53e+03
25.6%	256000	-568159.5343780518	297.6834044151582	1.53e+03
25.7%	257000	-568088.3529968262	293.80841706966265	1.53e+03
25.8%	258000	-567922.5831298828	306.47016978903474	1.53e+03
25.9%	259000	-568366.7769775391	306.7271010755435	1.53e+03
26.0%	260000	-568186.3773193359	310.7923792196201	1.53e+03
26.1%	261000	-568216.1614990234	290.443206771482	1.53e+03
26.2%	262000	-568105.9470214844	307.1239530528408	1.53e+03
26.3%	263000	-568138.4803466797	289.1490376162263	1.53e+03
26.4%	264000	-568290.2232055664	301.4591721880177	1.53e+03
26.5%	265000	-568117.8641357422	295.1225086707847	1.53e+03
26.6%	266000	-568111.291229248	297.16985377077884	1.53e+03
26.7%	267000	-568087.6763916016	292.5562500378758	1.53e+03
26.8%	268000	-568163.3146972656	296.5820559844706	1.53e+03
