Salt,Temperature_C,MW_Salt_g_per_mol,RH_Water_Activity,Mass_Fraction_Salt,Mass_Fraction_Water,Mole_Fraction_Water,Mole_Fraction_Water_Ionic_Basis,Molality_mol_per_kg,Activity_Coefficient_Water,Ionic_Strength_mol_per_kg,ln_aw,ln_gammaw
LiI,25.0000000000,133.8500000000,0.2526363636,0.5941399360,0.4058600640,0.8354022301,0.7173311264,10.9368951845,0.3521893228,10.9368951845,-1.3758041220,-1.0435863991
LiI,25.0000000000,133.8500000000,0.2605959596,0.5920324557,0.4079675443,0.8365994963,0.7190984477,10.8418033535,0.3623926049,10.8418033535,-1.3447841186,-1.0150271111
LiI,25.0000000000,133.8500000000,0.2685555556,0.5899018872,0.4100981128,0.8378008098,0.7208754032,10.7466632252,0.3725408779,10.7466632252,-1.3146974756,-0.9874085079
LiI,25.0000000000,133.8500000000,0.2765151515,0.5877476893,0.4122523107,0.8390062804,0.7226622041,10.6514677382,0.3826340300,10.6514677382,-1.2854896620,-0.9606762818
LiI,25.0000000000,133.8500000000,0.2844747475,0.5855693016,0.4144306984,0.8402160209,0.7244590682,10.5562096684,0.3926719396,10.5562096684,-1.2571107904,-0.9347807750
LiI,25.0000000000,133.8500000000,0.2924343434,0.5833661441,0.4166338559,0.8414301475,0.7262662201,10.4608816219,0.4026544748,10.4608816219,-1.2295151044,-0.9096764674
LiI,25.0000000000,133.8500000000,0.3003939394,0.5811376159,0.4188623841,0.8426487800,0.7280838915,10.3654760284,0.4125814936,10.3654760284,-1.2026605344,-0.8853215325
LiI,25.0000000000,133.8500000000,0.3083535354,0.5788830945,0.4211169055,0.8438720419,0.7299123215,10.2699851340,0.4224528430,10.2699851340,-1.1765083122,-0.8616774526
LiI,25.0000000000,133.8500000000,0.3163131313,0.5766019344,0.4233980656,0.8451000601,0.7317517570,10.1744009935,0.4322683592,10.1744009935,-1.1510226342,-0.8387086818
LiI,25.0000000000,133.8500000000,0.3242727273,0.5742934666,0.4257065334,0.8463329660,0.7336024530,10.0787154629,0.4420278667,10.0787154629,-1.1261703664,-0.8163823521
LiI,25.0000000000,133.8500000000,0.3322323232,0.5719569968,0.4280430032,0.8475708947,0.7354646727,9.9829201906,0.4517311783,9.9829201906,-1.1019207860,-0.7946680143
LiI,25.0000000000,133.8500000000,0.3401919192,0.5695918047,0.4304081953,0.8488139858,0.7373386884,9.8870066094,0.4613780947,9.8870066094,-1.0782453524,-0.7735374101
LiI,25.0000000000,133.8500000000,0.3481515152,0.5671971425,0.4328028575,0.8500623831,0.7392247811,9.7909659276,0.4709684037,9.7909659276,-1.0551175056,-0.7529642705
LiI,25.0000000000,133.8500000000,0.3561111111,0.5647722335,0.4352277665,0.8513162353,0.7411232416,9.6947891194,0.4805018803,9.6947891194,-1.0325124870,-0.7329241374
LiI,25.0000000000,133.8500000000,0.3640707071,0.5623162707,0.4376837293,0.8525756958,0.7430343706,9.5984669154,0.4899782856,9.5984669154,-1.0104071800,-0.7133942039
LiI,25.0000000000,133.8500000000,0.3720303030,0.5598284153,0.4401715847,0.8538409230,0.7449584792,9.5019897925,0.4993973670,9.5019897925,-0.9887799683,-0.6943531735
LiI,25.0000000000,133.8500000000,0.3799898990,0.5573077952,0.4426922048,0.8551120806,0.7468958892,9.4053479636,0.5087588571,9.4053479636,-0.9676106082,-0.6757811328
LiI,25.0000000000,133.8500000000,0.3879494949,0.5547535030,0.4452464970,0.8563893379,0.7488469338,9.3085313664,0.5180624737,9.3085313664,-0.9468801155,-0.6576594384
LiI,25.0000000000,133.8500000000,0.3959090909,0.5521645944,0.4478354056,0.8576728696,0.7508119581,9.2115296523,0.5273079187,9.2115296523,-0.9265706625,-0.6399706152
LiI,25.0000000000,133.8500000000,0.4038686869,0.5495400861,0.4504599139,0.8589628565,0.7527913192,9.1143321743,0.5364948779,9.1143321743,-0.9066654864,-0.6226982642
LiI,25.0000000000,133.8500000000,0.4118282828,0.5468789540,0.4531210460,0.8602594857,0.7547853875,9.0169279750,0.5456230203,9.0169279750,-0.8871488058,-0.6058269807
LiI,25.0000000000,133.8500000000,0.4197878788,0.5441801307,0.4558198693,0.8615629506,0.7567945466,8.9193057738,0.5546919975,8.9193057738,-0.8680057458,-0.5893422787
LiI,25.0000000000,133.8500000000,0.4277474747,0.5414425033,0.4585574967,0.8628734515,0.7588191944,8.8214539539,0.5637014429,8.8214539539,-0.8492222698,-0.5732305243
LiI,25.0000000000,133.8500000000,0.4357070707,0.5386649112,0.4613350888,0.8641911954,0.7608597432,8.7233605482,0.5726509710,8.7233605482,-0.8307851176,-0.5574788736
LiI,25.0000000000,133.8500000000,0.4436666667,0.5358461429,0.4641538571,0.8655163970,0.7629166210,8.6250132256,0.5815401768,8.6250132256,-0.8126817493,-0.5420752177
LiI,25.0000000000,133.8500000000,0.4516262626,0.5329849339,0.4670150661,0.8668492784,0.7649902717,8.5263992763,0.5903686352,8.5263992763,-0.7949002938,-0.5270081318
LiI,25.0000000000,133.8500000000,0.4595858586,0.5300799632,0.4699200368,0.8681900698,0.7670811561,8.4275055969,0.5991358997,8.4275055969,-0.7774295024,-0.5122668290
LiI,25.0000000000,133.8500000000,0.4675454545,0.5271298502,0.4728701498,0.8695390095,0.7691897526,8.3283186749,0.6078415020,8.3283186749,-0.7602587060,-0.4978411185
LiI,25.0000000000,133.8500000000,0.4755050505,0.5241331516,0.4758668484,0.8708963448,0.7713165579,8.2288245728,0.6164849511,8.2288245728,-0.7433777756,-0.4837213669
LiI,25.0000000000,133.8500000000,0.4834646465,0.5210883577,0.4789116423,0.8722623317,0.7734620881,8.1290089127,0.6250657322,8.1290089127,-0.7267770868,-0.4698984632
LiI,25.0000000000,133.8500000000,0.4914242424,0.5179938884,0.4820061116,0.8736372357,0.7756268793,8.0288568591,0.6335833061,8.0288568591,-0.7104474867,-0.4563637866
LiI,25.0000000000,133.8500000000,0.4993838384,0.5148480895,0.4851519105,0.8750213321,0.7778114885,7.9283531028,0.6420371077,7.9283531028,-0.6943802637,-0.4431091768
LiI,25.0000000000,133.8500000000,0.5073434343,0.5116492279,0.4883507721,0.8764149064,0.7800164948,7.8274818443,0.6504265458,7.8274818443,-0.6785671194,-0.4301269071
LiI,25.0000000000,133.8500000000,0.5153030303,0.5083954877,0.4916045123,0.8778182544,0.7822425003,7.7262267771,0.6587510013,7.7262267771,-0.6630001430,-0.4174096591
LiI,25.0000000000,133.8500000000,0.5232626263,0.5050849644,0.4949150356,0.8792316833,0.7844901307,7.6245710712,0.6670098268,7.6245710712,-0.6476717875,-0.4049505003
LiI,25.0000000000,133.8500000000,0.5312222222,0.5017156606,0.4982843394,0.8806555114,0.7867600372,7.5224973573,0.6752023452,7.5224973573,-0.6325748477,-0.3927428623
LiI,25.0000000000,133.8500000000,0.5391818182,0.4982854797,0.5017145203,0.8820900690,0.7890528965,7.4199877109,0.6833278486,7.4199877109,-0.6177024399,-0.3807805220
LiI,25.0000000000,133.8500000000,0.5471414141,0.4947922207,0.5052077793,0.8835356986,0.7913694128,7.3170236380,0.6913855973,7.3170236380,-0.6030479832,-0.3690575829
LiI,25.0000000000,133.8500000000,0.5551010101,0.4912335714,0.5087664286,0.8849927552,0.7937103183,7.2135860612,0.6993748189,7.2135860612,-0.5886051816,-0.3575684589
LiI,25.0000000000,133.8500000000,0.5630606061,0.4876071022,0.5123928978,0.8864616070,0.7960763747,7.1096553081,0.7072947068,7.1096553081,-0.5743680082,-0.3463078586
LiI,25.0000000000,133.8500000000,0.5710202020,0.4839102587,0.5160897413,0.8879426357,0.7984683742,7.0052111009,0.7151444196,7.0052111009,-0.5603306899,-0.3352707712
LiI,25.0000000000,133.8500000000,0.5789797980,0.4801403548,0.5198596452,0.8894362366,0.8008871403,6.9002325492,0.7229230797,6.9002325492,-0.5464876932,-0.3244524529
LiI,25.0000000000,133.8500000000,0.5869393939,0.4762945642,0.5237054358,0.8909428193,0.8033335294,6.7946981452,0.7306297726,6.7946981452,-0.5328337116,-0.3138484145
LiI,25.0000000000,133.8500000000,0.5948989899,0.4723699130,0.5276300870,0.8924628077,0.8058084315,6.6885857638,0.7382635458,6.6885857638,-0.5193636527,-0.3034544100
LiI,25.0000000000,133.8500000000,0.6028585859,0.4683632702,0.5316367298,0.8939966405,0.8083127712,6.5818726669,0.7458234081,6.5818726669,-0.5060726274,-0.2932664251
LiI,25.0000000000,133.8500000000,0.6108181818,0.4642713391,0.5357286609,0.8955447709,0.8108475085,6.4745355130,0.7533083291,6.4745355130,-0.4929559389,-0.2832806674
LiI,25.0000000000,133.8500000000,0.6187777778,0.4600906479,0.5399093521,0.8971076670,0.8134136399,6.3665503753,0.7607172383,6.3665503753,-0.4800090727,-0.2734935561
LiI,25.0000000000,133.8500000000,0.6267373737,0.4558175395,0.5441824605,0.8986858119,0.8160121984,6.2578927673,0.7680490254,6.2578927673,-0.4672276878,-0.2639017127
LiI,25.0000000000,133.8500000000,0.6346969697,0.4514481618,0.5485518382,0.9002797028,0.8186442545,6.1485376786,0.7753025398,6.1485376786,-0.4546076071,-0.2545019518
LiI,25.0000000000,133.8500000000,0.6426565657,0.4469784569,0.5530215431,0.9018898515,0.8213109155,6.0384596235,0.7824765914,6.0384596235,-0.4421448099,-0.2452912722
LiI,25.0000000000,133.8500000000,0.6506161616,0.4424041509,0.5575958491,0.9035167829,0.8240133263,5.9276327035,0.7895699510,5.9276327035,-0.4298354242,-0.2362668476
