electrolyte,electrolyte_type,cation,anion,molecule_formula,std_dev_simplified,ref_simplified,max_molality_simplified,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,cation_type_numeric,anion_type_numeric,electrolyte_type_numeric,B_MX_0_simplified,B_MX_1_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original
Zn(ClO4)2,2-1,Zn^+2,ClO4^-1,4.0,0.031,25,3.25,0.003,9,2.0,0.75,2.25,k,c,0.0,-185.0,1.792e-05,99.4506,5.0,2.0,3.38,1.75,-0.058,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,2.01,0.369,264.3102,11.0,3.0,2.01,1,0,21,0.5444,1.6016,0.506,1.797,0.0,0.0113
Zn(NO3)2,2-1,Zn^+2,NO3^-1,3.0,0.018,25,3.0,0.001,9,2.0,0.75,1.79,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,2.01,0.369,189.4188,9.0,3.0,2.01,1,0,21,0.299,1.9419,0.3481,1.6913,0.0,-0.0157
ZnBr2,2-1,Zn^+2,Br^-1,2.0,0.008,25,0.8,0.007,9,1.6,0.75,1.96,k,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,2.01,0.369,225.217,3.0,2.0,2.01,1,0,21,0.3378,2.0164,0.466,1.6343,0.0,-0.1079
ZnCl2,2-1,Zn^+2,Cl^-1,2.0,0.031,25,13.0,0.006,9,1.2,0.75,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,2.01,0.369,136.315,3.0,2.0,2.01,1,0,21,0.0959,2.2348,0.2602,1.6425,0.0,-0.088
ZnI2,2-1,Zn^+2,I^-1,2.0,0.013,25,1.0,0.002,9,0.8,0.75,2.2,k,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,2.01,0.369,319.21794,3.0,2.0,2.01,1,0,21,0.4536,2.1785,0.4821,1.9455,0.0,-0.0143
CdSO4,2-2,Cd^+2,SO4^-2,4.0,0.01,13,3.5,0.002,8,3.5,0.95,2.4,k,c,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.8,0.206,0.0,-1843.0,7.19e-06,112.411,1.0,1.0,4.26,2.18,0.321,208.4736,6.0,3.0,2.18,1,0,22,0.2358,2.3479,0.2053,2.617,-48.07,0.0114
CuSO4,2-2,Cu^+1,SO4^-2,4.0,0.004,17,1.4,0.003,8,1.4,0.73,2.4,k,c,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.8,0.206,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,1.96,0.085,159.6086,6.0,3.0,1.96,1,0,22,0.2347,2.4875,0.2358,2.485,-47.35,-0.0012
CuSO4,2-2,Cu^+1,SO4^-2,4.0,0.004,17,1.4,0.003,8,1.4,0.73,2.4,k,c,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.8,0.206,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,1.96,0.085,159.6086,6.0,3.0,1.96,1,0,22,0.2347,2.4875,0.2358,2.485,-47.35,-0.0012
MgSO4,2-2,Mg^+2,SO4^-2,4.0,0.009,17,2.5,0.004,8,3.0,0.72,2.4,k,c,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.8,0.206,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,1.73,0.385,120.3676,6.0,3.0,1.73,1,0,22,0.2842,2.8749,0.221,3.343,-37.23,0.025
MnSO4,2-2,Mn^+2,SO4^-2,4.0,0.011,17,2.5,0.003,8,4.0,0.83,2.4,k,c,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.8,0.206,0.0,-1848.0,7.12e-06,54.938045,1.0,1.0,4.38,2.05,0.388,151.000645,6.0,3.0,2.05,1,0,22,0.2414,2.6899,0.201,2.98,0.0,0.0182
NiSO4,2-2,Ni^+2,SO4^-2,4.0,0.008,17,1.6,0.005,8,2.5,0.69,2.4,k,c,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.8,0.206,0.0,-2068.0,6.61e-06,58.6934,1.0,1.0,4.04,1.97,0.379,154.756,6.0,3.0,1.97,1,0,22,0.2268,2.6082,0.1702,2.907,-40.06,0.0366
ZnSO4,2-2,Zn^+2,SO4^-2,4.0,0.005,17,2.0,0.004,8,3.5,0.75,2.4,k,c,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.8,0.206,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,2.01,0.369,161.4716,6.0,3.0,2.01,1,0,22,0.2565,2.4986,0.1949,2.883,-32.81,0.029
CeCl3,3-1,Ce^+3,Cl^-1,3.0,0.043,13,1.8,0.01,9,1.8,1.01,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-3332.0,6.2e-06,140.116,1.0,1.0,4.52,2.42,0.57,246.475,4.0,2.0,2.42,1,0,31,0.5562,5.5669,0.6125,5.4847,0.0,-0.0311
